source,target,relation_type,method,confidence,verification_status,discovered_at,support,lift,count,avg_time_gap,pattern_type,full_pattern
ANOMALY_END,FLOW_RATE_HIGH,CO_OCCURS,pattern_mining,0.9193548387096774,auto,2025-12-24 23:38:12.395653,0.20212765957446807,1.0538945712037764,57,0.0,co_occurrence,ANOMALY_END → FLOW_RATE_HIGH
ANOMALY_END,PRESSURE_LOW,CO_OCCURS,pattern_mining,0.9193548387096774,auto,2025-12-24 23:38:12.395675,0.20212765957446807,1.012726814516129,57,0.0,co_occurrence,ANOMALY_END → PRESSURE_LOW
ANOMALY_START,FLOW_RATE_HIGH,CO_OCCURS,pattern_mining,0.9180327868852459,auto,2025-12-24 23:38:12.395665,0.19858156028368795,1.0523790483806477,56,0.0,co_occurrence,ANOMALY_START → FLOW_RATE_HIGH
ANOMALY_START,VIBRATION_HIGH,CO_OCCURS,pattern_mining,0.9180327868852459,auto,2025-12-24 23:38:12.395673,0.19858156028368795,1.0786885245901638,56,0.0,co_occurrence,ANOMALY_START → VIBRATION_HIGH
ANOMALY_START,PRESSURE_LOW,CO_OCCURS,pattern_mining,0.9180327868852459,auto,2025-12-24 23:38:12.395679,0.19858156028368795,1.0112704918032787,56,0.0,co_occurrence,ANOMALY_START → PRESSURE_LOW
FLOW_RATE_LOW,PRESSURE_HIGH,CO_OCCURS,pattern_mining,0.9166666666666666,auto,2025-12-24 23:38:12.395594,0.8191489361702128,0.9942307692307691,231,0.0,co_occurrence,FLOW_RATE_LOW → PRESSURE_HIGH
TEMPERATURE_LOW,CURRENT_LOW,CO_OCCURS,pattern_mining,0.9152542372881356,auto,2025-12-24 23:38:12.395557,0.19148936170212766,1.0121635094715853,54,0.0,co_occurrence,TEMPERATURE_LOW → CURRENT_LOW
TEMPERATURE_LOW,FLOW_RATE_LOW,CO_OCCURS,pattern_mining,0.9152542372881356,auto,2025-12-24 23:38:12.395600,0.19148936170212766,1.0242130750605327,54,0.0,co_occurrence,TEMPERATURE_LOW → FLOW_RATE_LOW
PRESSURE_HIGH,CURRENT_HIGH,PRECEDES,pattern_mining,0.9148936170212766,auto,2025-12-24 23:38:12.395066,0.9148936170212766,69.78530069047821,258,24.44573643410853,sequential,PRESSURE_HIGH → CURRENT_HIGH
PRESSURE_LOW,FLOW_RATE_LOW,CO_OCCURS,pattern_mining,0.9140625,auto,2025-12-24 23:38:12.395596,0.8297872340425532,1.0228794642857144,234,0.0,co_occurrence,PRESSURE_LOW → FLOW_RATE_LOW
PRESSURE_LOW,PRESSURE_HIGH,CO_OCCURS,pattern_mining,0.9140625,auto,2025-12-24 23:38:12.395610,0.8297872340425532,0.99140625,234,0.0,co_occurrence,PRESSURE_LOW → PRESSURE_HIGH
CURRENT_LOW,PRESSURE_HIGH,CO_OCCURS,pattern_mining,0.9137254901960784,auto,2025-12-24 23:38:12.395551,0.8262411347517731,0.9910407239819005,233,0.0,co_occurrence,CURRENT_LOW → PRESSURE_HIGH
VIBRATION_HIGH,CURRENT_HIGH,CO_OCCURS,pattern_mining,0.9083333333333333,auto,2025-12-24 23:38:12.395532,0.7730496453900709,1.0205179282868526,218,0.0,co_occurrence,VIBRATION_HIGH → CURRENT_HIGH
PRESSURE_LOW,VIBRATION_LOW,PRECEDES,pattern_mining,0.9078014184397163,auto,2025-12-24 23:38:12.394936,0.9078014184397163,77.01535052573905,256,27.15234375,sequential,PRESSURE_LOW → VIBRATION_LOW
PRESSURE_HIGH,CURRENT_HIGH,CO_OCCURS,pattern_mining,0.9076923076923077,auto,2025-12-24 23:38:12.395522,0.8368794326241135,1.0197977321483298,236,0.0,co_occurrence,PRESSURE_HIGH → CURRENT_HIGH
VIBRATION_LOW,PRESSURE_HIGH,CO_OCCURS,pattern_mining,0.907563025210084,auto,2025-12-24 23:38:12.395621,0.7659574468085106,0.9843568196509372,216,0.0,co_occurrence,VIBRATION_LOW → PRESSURE_HIGH
TEMPERATURE_HIGH,CURRENT_HIGH,CO_OCCURS,pattern_mining,0.9047619047619048,auto,2025-12-24 23:38:12.395686,0.20212765957446807,1.0165054069436539,57,0.0,co_occurrence,TEMPERATURE_HIGH → CURRENT_HIGH
TEMPERATURE_HIGH,FLOW_RATE_HIGH,CO_OCCURS,pattern_mining,0.9047619047619048,auto,2025-12-24 23:38:12.395690,0.20212765957446807,1.0371660859465737,57,0.0,co_occurrence,TEMPERATURE_HIGH → FLOW_RATE_HIGH
FLOW_RATE_HIGH,CURRENT_HIGH,PRECEDES,pattern_mining,0.9042553191489362,auto,2025-12-24 23:38:12.394979,0.9042553191489362,70.03381495914084,255,29.356862745098038,sequential,FLOW_RATE_HIGH → CURRENT_HIGH
VIBRATION_HIGH,FLOW_RATE_HIGH,CO_OCCURS,pattern_mining,0.9041666666666667,auto,2025-12-24 23:38:12.395583,0.7695035460992907,1.0364837398373983,217,0.0,co_occurrence,VIBRATION_HIGH → FLOW_RATE_HIGH
ANOMALY_END,VIBRATION_HIGH,CO_OCCURS,pattern_mining,0.9032258064516129,auto,2025-12-24 23:38:12.395659,0.19858156028368795,1.0612903225806452,56,0.0,co_occurrence,ANOMALY_END → VIBRATION_HIGH
FLOW_RATE_HIGH,CURRENT_HIGH,CO_OCCURS,pattern_mining,0.9024390243902439,auto,2025-12-24 23:38:12.395513,0.7872340425531915,1.0138956369643377,222,0.0,co_occurrence,FLOW_RATE_HIGH → CURRENT_HIGH
ANOMALY_START,CURRENT_LOW,CO_OCCURS,pattern_mining,0.9016393442622951,auto,2025-12-24 23:38:12.395663,0.1950354609929078,0.9971070395371263,55,0.0,co_occurrence,ANOMALY_START → CURRENT_LOW
CURRENT_LOW,VIBRATION_LOW,PRECEDES,pattern_mining,0.900709219858156,auto,2025-12-24 23:38:12.395191,0.900709219858156,75.65751305533911,254,27.799212598425196,sequential,CURRENT_LOW → VIBRATION_LOW
PRESSURE_HIGH,PRESSURE_LOW,CO_OCCURS,pattern_mining,0.9,auto,2025-12-24 23:38:12.395612,0.8297872340425532,0.99140625,234,0.0,co_occurrence,PRESSURE_HIGH → PRESSURE_LOW
CURRENT_HIGH,FLOW_RATE_HIGH,PRECEDES,pattern_mining,0.8971631205673759,auto,2025-12-24 23:38:12.394981,0.8971631205673759,69.48453013593189,253,27.897233201581027,sequential,CURRENT_HIGH → FLOW_RATE_HIGH
CURRENT_HIGH,PRESSURE_LOW,CO_OCCURS,pattern_mining,0.896414342629482,auto,2025-12-24 23:38:12.395528,0.7978723404255319,0.9874564243027888,225,0.0,co_occurrence,CURRENT_HIGH → PRESSURE_LOW
PRESSURE_HIGH,CURRENT_LOW,CO_OCCURS,pattern_mining,0.8961538461538462,auto,2025-12-24 23:38:12.395549,0.8262411347517731,0.9910407239819005,233,0.0,co_occurrence,PRESSURE_HIGH → CURRENT_LOW
FLOW_RATE_HIGH,PRESSURE_LOW,CO_OCCURS,pattern_mining,0.8943089430894309,auto,2025-12-24 23:38:12.395578,0.7801418439716312,0.9851371951219512,220,0.0,co_occurrence,FLOW_RATE_HIGH → PRESSURE_LOW
CURRENT_HIGH,CURRENT_LOW,CO_OCCURS,pattern_mining,0.8924302788844621,auto,2025-12-24 23:38:12.395511,0.7943262411347518,0.9869228966486993,224,0.0,co_occurrence,CURRENT_HIGH → CURRENT_LOW
VIBRATION_HIGH,PRESSURE_LOW,CO_OCCURS,pattern_mining,0.8916666666666667,auto,2025-12-24 23:38:12.395628,0.7588652482269503,0.9822265625000001,214,0.0,co_occurrence,VIBRATION_HIGH → PRESSURE_LOW
PRESSURE_LOW,VIBRATION_LOW,CO_OCCURS,pattern_mining,0.890625,auto,2025-12-24 23:38:12.395634,0.8085106382978723,1.0552783613445378,228,0.0,co_occurrence,PRESSURE_LOW → VIBRATION_LOW
FLOW_RATE_HIGH,CURRENT_LOW,CO_OCCURS,pattern_mining,0.8902439024390244,auto,2025-12-24 23:38:12.395541,0.776595744680851,0.9845050215208034,219,0.0,co_occurrence,FLOW_RATE_HIGH → CURRENT_LOW
VIBRATION_LOW,FLOW_RATE_LOW,PRECEDES,pattern_mining,0.8900709219858156,auto,2025-12-24 23:38:12.394943,0.8900709219858156,84.78526881164,251,23.92828685258964,sequential,VIBRATION_LOW → FLOW_RATE_LOW
TEMPERATURE_HIGH,CURRENT_LOW,CO_OCCURS,pattern_mining,0.8888888888888888,auto,2025-12-24 23:38:12.395688,0.19858156028368795,0.9830065359477124,56,0.0,co_occurrence,TEMPERATURE_HIGH → CURRENT_LOW
PRESSURE_HIGH,FLOW_RATE_HIGH,CO_OCCURS,pattern_mining,0.8884615384615384,auto,2025-12-24 23:38:12.395571,0.8191489361702128,1.0184803001876173,231,0.0,co_occurrence,PRESSURE_HIGH → FLOW_RATE_HIGH
PRESSURE_HIGH,FLOW_RATE_LOW,CO_OCCURS,pattern_mining,0.8884615384615384,auto,2025-12-24 23:38:12.395591,0.8191489361702128,0.9942307692307693,231,0.0,co_occurrence,PRESSURE_HIGH → FLOW_RATE_LOW
VIBRATION_HIGH,CURRENT_LOW,CO_OCCURS,pattern_mining,0.8875,auto,2025-12-24 23:38:12.395559,0.7553191489361702,0.981470588235294,213,0.0,co_occurrence,VIBRATION_HIGH → CURRENT_LOW
ANOMALY_END,CURRENT_LOW,CO_OCCURS,pattern_mining,0.8870967741935484,auto,2025-12-24 23:38:12.395650,0.1950354609929078,0.9810246679316887,55,0.0,co_occurrence,ANOMALY_END → CURRENT_LOW
PRESSURE_HIGH,VIBRATION_HIGH,CO_OCCURS,pattern_mining,0.8846153846153846,auto,2025-12-24 23:38:12.395619,0.8156028368794326,1.0394230769230768,230,0.0,co_occurrence,PRESSURE_HIGH → VIBRATION_HIGH
CURRENT_HIGH,FLOW_RATE_HIGH,CO_OCCURS,pattern_mining,0.8844621513944223,auto,2025-12-24 23:38:12.395515,0.7872340425531915,1.0138956369643377,222,0.0,co_occurrence,CURRENT_HIGH → FLOW_RATE_HIGH
CURRENT_HIGH,FLOW_RATE_LOW,CO_OCCURS,pattern_mining,0.8844621513944223,auto,2025-12-24 23:38:12.395520,0.7872340425531915,0.9897552646556631,222,0.0,co_occurrence,CURRENT_HIGH → FLOW_RATE_LOW
FLOW_RATE_HIGH,FLOW_RATE_LOW,CO_OCCURS,pattern_mining,0.8821138211382114,auto,2025-12-24 23:38:12.395569,0.7695035460992907,0.9871273712737128,217,0.0,co_occurrence,FLOW_RATE_HIGH → FLOW_RATE_LOW
FLOW_RATE_HIGH,VIBRATION_HIGH,CO_OCCURS,pattern_mining,0.8821138211382114,auto,2025-12-24 23:38:12.395585,0.7695035460992907,1.0364837398373983,217,0.0,co_occurrence,FLOW_RATE_HIGH → VIBRATION_HIGH
FLOW_RATE_LOW,CURRENT_HIGH,CO_OCCURS,pattern_mining,0.8809523809523809,auto,2025-12-24 23:38:12.395517,0.7872340425531915,0.989755264655663,222,0.0,co_occurrence,FLOW_RATE_LOW → CURRENT_HIGH
VIBRATION_HIGH,FLOW_RATE_LOW,CO_OCCURS,pattern_mining,0.8791666666666667,auto,2025-12-24 23:38:12.395602,0.74822695035461,0.9838293650793651,211,0.0,co_occurrence,VIBRATION_HIGH → FLOW_RATE_LOW
PRESSURE_LOW,CURRENT_HIGH,CO_OCCURS,pattern_mining,0.87890625,auto,2025-12-24 23:38:12.395526,0.7978723404255319,0.9874564243027888,225,0.0,co_occurrence,PRESSURE_LOW → CURRENT_HIGH
CURRENT_LOW,CURRENT_HIGH,CO_OCCURS,pattern_mining,0.8784313725490196,auto,2025-12-24 23:38:12.395509,0.7943262411347518,0.9869228966486993,224,0.0,co_occurrence,CURRENT_LOW → CURRENT_HIGH
CURRENT_LOW,VIBRATION_LOW,CO_OCCURS,pattern_mining,0.8784313725490196,auto,2025-12-24 23:38:12.395565,0.7943262411347518,1.0408304498269896,224,0.0,co_occurrence,CURRENT_LOW → VIBRATION_LOW
FLOW_RATE_LOW,VIBRATION_LOW,CO_OCCURS,pattern_mining,0.876984126984127,auto,2025-12-24 23:38:12.395608,0.7836879432624113,1.0391156462585034,221,0.0,co_occurrence,FLOW_RATE_LOW → VIBRATION_LOW
TEMPERATURE_HIGH,VIBRATION_HIGH,CO_OCCURS,pattern_mining,0.873015873015873,auto,2025-12-24 23:38:12.395699,0.1950354609929078,1.0257936507936507,55,0.0,co_occurrence,TEMPERATURE_HIGH → VIBRATION_HIGH
VIBRATION_LOW,CURRENT_HIGH,CO_OCCURS,pattern_mining,0.8697478991596639,auto,2025-12-24 23:38:12.395536,0.7340425531914894,0.9771669624024909,207,0.0,co_occurrence,VIBRATION_LOW → CURRENT_HIGH
FLOW_RATE_HIGH,PRESSURE_HIGH,PRECEDES,pattern_mining,0.8687943262411347,auto,2025-12-24 23:38:12.395030,0.8687943262411347,63.75934926916079,245,30.489795918367346,sequential,FLOW_RATE_HIGH → PRESSURE_HIGH
CURRENT_HIGH,VIBRATION_HIGH,CO_OCCURS,pattern_mining,0.8685258964143426,auto,2025-12-24 23:38:12.395534,0.7730496453900709,1.0205179282868526,218,0.0,co_occurrence,CURRENT_HIGH → VIBRATION_HIGH
TEMPERATURE_LOW,PRESSURE_LOW,CO_OCCURS,pattern_mining,0.864406779661017,auto,2025-12-24 23:38:12.395626,0.18085106382978725,0.952198093220339,51,0.0,co_occurrence,TEMPERATURE_LOW → PRESSURE_LOW
FLOW_RATE_LOW,FLOW_RATE_HIGH,CO_OCCURS,pattern_mining,0.8611111111111112,auto,2025-12-24 23:38:12.395567,0.7695035460992907,0.9871273712737128,217,0.0,co_occurrence,FLOW_RATE_LOW → FLOW_RATE_HIGH
PRESSURE_LOW,FLOW_RATE_HIGH,CO_OCCURS,pattern_mining,0.859375,auto,2025-12-24 23:38:12.395575,0.7801418439716312,0.9851371951219512,220,0.0,co_occurrence,PRESSURE_LOW → FLOW_RATE_HIGH
CURRENT_LOW,FLOW_RATE_HIGH,CO_OCCURS,pattern_mining,0.8588235294117647,auto,2025-12-24 23:38:12.395543,0.776595744680851,0.9845050215208033,219,0.0,co_occurrence,CURRENT_LOW → FLOW_RATE_HIGH
PRESSURE_HIGH,VIBRATION_HIGH,PRECEDES,pattern_mining,0.8581560283687943,auto,2025-12-24 23:38:12.395035,0.8581560283687943,69.04154649464736,242,27.227272727272727,sequential,PRESSURE_HIGH → VIBRATION_HIGH
TEMPERATURE_HIGH,FLOW_RATE_LOW,CO_OCCURS,pattern_mining,0.8571428571428571,auto,2025-12-24 23:38:12.395692,0.19148936170212766,0.9591836734693877,54,0.0,co_occurrence,TEMPERATURE_HIGH → FLOW_RATE_LOW
ANOMALY_START,ANOMALY_END,CO_OCCURS,pattern_mining,0.8524590163934426,auto,2025-12-24 23:38:12.395644,0.18439716312056736,3.8773135906927547,52,0.0,co_occurrence,ANOMALY_START → ANOMALY_END
ANOMALY_START,CURRENT_HIGH,CO_OCCURS,pattern_mining,0.8524590163934426,auto,2025-12-24 23:38:12.395661,0.18439716312056736,0.9577427992946247,52,0.0,co_occurrence,ANOMALY_START → CURRENT_HIGH
FLOW_RATE_LOW,VIBRATION_LOW,PRECEDES,pattern_mining,0.851063829787234,auto,2025-12-24 23:38:12.395138,0.851063829787234,81.06957974021354,240,27.908333333333335,sequential,FLOW_RATE_LOW → VIBRATION_LOW
VIBRATION_LOW,FLOW_RATE_HIGH,CO_OCCURS,pattern_mining,0.8487394957983193,auto,2025-12-24 23:38:12.395587,0.7163120567375887,0.972945275671244,202,0.0,co_occurrence,VIBRATION_LOW → FLOW_RATE_HIGH
TEMPERATURE_LOW,CURRENT_HIGH,CO_OCCURS,pattern_mining,0.847457627118644,auto,2025-12-24 23:38:12.395530,0.1773049645390071,0.952123708555608,50,0.0,co_occurrence,TEMPERATURE_LOW → CURRENT_HIGH
TEMPERATURE_LOW,FLOW_RATE_HIGH,CO_OCCURS,pattern_mining,0.847457627118644,auto,2025-12-24 23:38:12.395580,0.1773049645390071,0.9714758164530797,50,0.0,co_occurrence,TEMPERATURE_LOW → FLOW_RATE_HIGH
ANOMALY_END,ANOMALY_START,CO_OCCURS,pattern_mining,0.8387096774193549,auto,2025-12-24 23:38:12.395646,0.18439716312056736,3.877313590692755,52,0.0,co_occurrence,ANOMALY_END → ANOMALY_START
ANOMALY_END,CURRENT_HIGH,CO_OCCURS,pattern_mining,0.8387096774193549,auto,2025-12-24 23:38:12.395648,0.18439716312056736,0.9422953347898728,52,0.0,co_occurrence,ANOMALY_END → CURRENT_HIGH
FLOW_RATE_LOW,VIBRATION_HIGH,CO_OCCURS,pattern_mining,0.8373015873015873,auto,2025-12-24 23:38:12.395604,0.74822695035461,0.9838293650793651,211,0.0,co_occurrence,FLOW_RATE_LOW → VIBRATION_HIGH
PRESSURE_HIGH,FLOW_RATE_HIGH,PRECEDES,pattern_mining,0.8368794326241135,auto,2025-12-24 23:38:12.395042,0.8368794326241135,61.41716909192632,236,28.927966101694917,sequential,PRESSURE_HIGH → FLOW_RATE_HIGH
PRESSURE_LOW,VIBRATION_HIGH,CO_OCCURS,pattern_mining,0.8359375,auto,2025-12-24 23:38:12.395630,0.7588652482269503,0.9822265625,214,0.0,co_occurrence,PRESSURE_LOW → VIBRATION_HIGH
CURRENT_LOW,VIBRATION_HIGH,CO_OCCURS,pattern_mining,0.8352941176470589,auto,2025-12-24 23:38:12.395561,0.7553191489361702,0.9814705882352941,213,0.0,co_occurrence,CURRENT_LOW → VIBRATION_HIGH
PRESSURE_HIGH,VIBRATION_LOW,CO_OCCURS,pattern_mining,0.8307692307692308,auto,2025-12-24 23:38:12.395623,0.7659574468085106,0.9843568196509374,216,0.0,co_occurrence,PRESSURE_HIGH → VIBRATION_LOW
TEMPERATURE_LOW,VIBRATION_HIGH,CO_OCCURS,pattern_mining,0.8305084745762712,auto,2025-12-24 23:38:12.395636,0.17375886524822695,0.9758474576271187,49,0.0,co_occurrence,TEMPERATURE_LOW → VIBRATION_HIGH
VIBRATION_HIGH,CURRENT_HIGH,PRECEDES,pattern_mining,0.8297872340425532,auto,2025-12-24 23:38:12.394976,0.8297872340425532,70.45321474292675,234,29.521367521367523,sequential,VIBRATION_HIGH → CURRENT_HIGH
VIBRATION_LOW,CURRENT_LOW,PRECEDES,pattern_mining,0.8297872340425532,auto,2025-12-24 23:38:12.395239,0.8297872340425532,69.70022856279273,234,31.905982905982906,sequential,VIBRATION_LOW → CURRENT_LOW
FLOW_RATE_LOW,CURRENT_LOW,PRECEDES,pattern_mining,0.8262411347517731,auto,2025-12-24 23:38:12.395134,0.8262411347517731,70.0513889423253,233,28.48068669527897,sequential,FLOW_RATE_LOW → CURRENT_LOW
TEMPERATURE_HIGH,PRESSURE_LOW,CO_OCCURS,pattern_mining,0.8253968253968254,auto,2025-12-24 23:38:12.395696,0.18439716312056736,0.9092261904761905,52,0.0,co_occurrence,TEMPERATURE_HIGH → PRESSURE_LOW
CURRENT_HIGH,VIBRATION_LOW,CO_OCCURS,pattern_mining,0.8247011952191236,auto,2025-12-24 23:38:12.395538,0.7340425531914894,0.9771669624024909,207,0.0,co_occurrence,CURRENT_HIGH → VIBRATION_LOW
VIBRATION_LOW,VIBRATION_HIGH,CO_OCCURS,pattern_mining,0.8235294117647058,auto,2025-12-24 23:38:12.395640,0.6950354609929078,0.9676470588235293,196,0.0,co_occurrence,VIBRATION_LOW → VIBRATION_HIGH
FLOW_RATE_HIGH,VIBRATION_LOW,CO_OCCURS,pattern_mining,0.8211382113821138,auto,2025-12-24 23:38:12.395589,0.7163120567375887,0.9729452756712441,202,0.0,co_occurrence,FLOW_RATE_HIGH → VIBRATION_LOW
ANOMALY_START,VIBRATION_LOW,CO_OCCURS,pattern_mining,0.819672131147541,auto,2025-12-24 23:38:12.395683,0.1773049645390071,0.9712081553933049,50,0.0,co_occurrence,ANOMALY_START → VIBRATION_LOW
