source,target,relation_type,method,confidence,verification_status,discovered_at,support,lift,count,avg_time_gap,pattern_type,full_pattern,statistic,p_value,optimal_lag,lag_seconds,direction_strength
TEMP_HIGH,ETCH_RATE_OOS,CO_OCCURS,pattern_mining,0.8307692307692308,auto,2025-12-24 23:27:56.611076,0.6666666666666666,1.1031525851197983,54.0,0.0,co_occurrence,TEMP_HIGH → ETCH_RATE_OOS,,,,,
PM_END,RF_ADJUST,CO_OCCURS,pattern_mining,0.8214285714285714,auto,2025-12-24 23:27:56.611097,0.2839506172839506,1.0236263736263735,23.0,0.0,co_occurrence,PM_END → RF_ADJUST,,,,,
ALARM_TRIGGER,ETCH_RATE_OOS,CO_OCCURS,pattern_mining,0.8108108108108109,auto,2025-12-24 23:27:56.611137,0.37037037037037035,1.0766504209127161,30.0,0.0,co_occurrence,ALARM_TRIGGER → ETCH_RATE_OOS,,,,,
PRESSURE_HIGH,ETCH_RATE_OOS,CO_OCCURS,pattern_mining,0.8,auto,2025-12-24 23:27:56.611067,0.691358024691358,1.0622950819672132,56.0,0.0,co_occurrence,PRESSURE_HIGH → ETCH_RATE_OOS,,,,,
NORMAL,RF_ADJUST,CO_OCCURS,pattern_mining,0.8,auto,2025-12-24 23:27:56.611088,0.5432098765432098,0.9969230769230769,44.0,0.0,co_occurrence,NORMAL → RF_ADJUST,,,,,
Temperature,Pressure,INFLUENCES,transfer_entropy,0.7997001620794638,auto,2025-12-24 23:27:56.572828,,,,,,,0.12937996348447367,6.374496286087883e-05,19.0,19.0,0.0
PM_END,ETCH_RATE_OOS,CO_OCCURS,pattern_mining,0.75,auto,2025-12-24 23:27:56.611065,0.25925925925925924,0.9959016393442622,21.0,0.0,co_occurrence,PM_END → ETCH_RATE_OOS,,,,,
NORMAL,ETCH_RATE_OOS,CO_OCCURS,pattern_mining,0.7454545454545455,auto,2025-12-24 23:27:56.611060,0.5061728395061729,0.9898658718330849,41.0,0.0,co_occurrence,NORMAL → ETCH_RATE_OOS,,,,,
TEMP_HIGH,NORMAL,CO_OCCURS,pattern_mining,0.7230769230769231,auto,2025-12-24 23:27:56.611090,0.5802469135802469,1.0648951048951047,47.0,0.0,co_occurrence,TEMP_HIGH → NORMAL,,,,,
ALARM_TRIGGER,NORMAL,CO_OCCURS,pattern_mining,0.7027027027027027,auto,2025-12-24 23:27:56.611132,0.32098765432098764,1.0348894348894349,26.0,0.0,co_occurrence,ALARM_TRIGGER → NORMAL,,,,,
PRESSURE_HIGH,NORMAL,CO_OCCURS,pattern_mining,0.6857142857142857,pending,2025-12-24 23:27:56.611082,0.5925925925925926,1.0098701298701298,48.0,0.0,co_occurrence,PRESSURE_HIGH → NORMAL,,,,,
RF_Power,Temperature,INFLUENCES,transfer_entropy,0.6824041653970392,pending,2025-12-24 23:27:56.572810,,,,,,,0.11540323901267335,0.0006448318628626826,2.0,2.0,0.0
RF_ADJUST,NORMAL,CO_OCCURS,pattern_mining,0.676923076923077,pending,2025-12-24 23:27:56.611086,0.5432098765432098,0.9969230769230769,44.0,0.0,co_occurrence,RF_ADJUST → NORMAL,,,,,
ETCH_RATE_OOS,NORMAL,CO_OCCURS,pattern_mining,0.6721311475409836,pending,2025-12-24 23:27:56.611062,0.5061728395061729,0.9898658718330848,41.0,0.0,co_occurrence,ETCH_RATE_OOS → NORMAL,,,,,
Gas_Flow,Pressure,INFLUENCES,transfer_entropy,0.6640596751881271,pending,2025-12-24 23:27:56.572824,,,,,,,0.12364438736304795,0.000899212857796261,8.0,8.0,0.0
PM_END,NORMAL,CO_OCCURS,pattern_mining,0.6428571428571429,pending,2025-12-24 23:27:56.611080,0.2222222222222222,0.9467532467532468,18.0,0.0,co_occurrence,PM_END → NORMAL,,,,,
NORMAL,PRESSURE_HIGH,PRECEDES,pattern_mining,0.5802469135802469,pending,2025-12-24 23:27:56.610959,0.5802469135802469,14.629959807139592,47.0,40.95744680851064,sequential,NORMAL → PRESSURE_HIGH,,,,,
PM_START,NORMAL,CO_OCCURS,pattern_mining,0.5769230769230769,pending,2025-12-24 23:27:56.611058,0.18518518518518517,0.8496503496503496,15.0,0.0,co_occurrence,PM_START → NORMAL,,,,,
PM_START,PRESSURE_HIGH,CO_OCCURS,pattern_mining,0.5769230769230769,pending,2025-12-24 23:27:56.611125,0.18518518518518517,0.6675824175824175,15.0,0.0,co_occurrence,PM_START → PRESSURE_HIGH,,,,,
RF_Power,Gas_Flow,INFLUENCES,transfer_entropy,0.559362584264773,pending,2025-12-24 23:27:56.572805,,,,,,,0.13925802655770747,0.005160940702624295,4.0,4.0,0.0
TEMP_HIGH,ALARM_TRIGGER,CO_OCCURS,pattern_mining,0.5538461538461539,pending,2025-12-24 23:27:56.611121,0.4444444444444444,1.2124740124740125,36.0,0.0,co_occurrence,TEMP_HIGH → ALARM_TRIGGER,,,,,
Gas_Flow,RF_Power,INFLUENCES,transfer_entropy,0.5519673094061127,pending,2025-12-24 23:27:56.572823,,,,,,,0.13619947363133145,0.005783028763343134,9.0,9.0,0.0
TEMP_HIGH,ALARM_TRIGGER,PRECEDES,pattern_mining,0.5517241379310345,pending,2025-12-24 23:27:56.611006,0.19753086419753085,71.44349977204286,16.0,59.03125,sequential,PRESSURE_HIGH → TEMP_HIGH → ALARM_TRIGGER,,,,,
RF_Power,Pressure,INFLUENCES,transfer_entropy,0.5493046572825795,pending,2025-12-24 23:27:56.572789,,,,,,,0.120024300619467,0.0060230610087101955,19.0,19.0,0.0
PM_END,ALARM_TRIGGER,CO_OCCURS,pattern_mining,0.5357142857142857,pending,2025-12-24 23:27:56.611134,0.18518518518518517,1.1727799227799227,15.0,0.0,co_occurrence,PM_END → ALARM_TRIGGER,,,,,
PRESSURE_HIGH,ALARM_TRIGGER,CO_OCCURS,pattern_mining,0.5285714285714286,pending,2025-12-24 23:27:56.611113,0.4567901234567901,1.1571428571428573,37.0,0.0,co_occurrence,PRESSURE_HIGH → ALARM_TRIGGER,,,,,
Etch_Rate,RF_Power,INFLUENCES,transfer_entropy,0.5282938892936958,pending,2025-12-24 23:27:56.572832,,,,,,,0.13903395176627598,0.008254725224071224,17.0,17.0,0.0
ETCH_RATE_OOS,PRESSURE_HIGH,PRECEDES,pattern_mining,0.5263157894736842,pending,2025-12-24 23:27:56.611046,0.12345679012345678,590.5337805081361,10.0,42.25,sequential,NORMAL → PRESSURE_HIGH → RF_ADJUST → ETCH_RATE_OOS → PRESSURE_HIGH,,,,,
PRESSURE_HIGH,PRESSURE_HIGH,PRECEDES,pattern_mining,0.5185185185185185,pending,2025-12-24 23:27:56.610971,0.5185185185185185,6.30333374669312,42.0,71.28571428571429,sequential,PRESSURE_HIGH → PRESSURE_HIGH,,,,,
RF_ADJUST,ALARM_TRIGGER,CO_OCCURS,pattern_mining,0.5076923076923077,pending,2025-12-24 23:27:56.611117,0.4074074074074074,1.1114345114345114,33.0,0.0,co_occurrence,RF_ADJUST → ALARM_TRIGGER,,,,,
PM_START,RF_ADJUST,CO_OCCURS,pattern_mining,0.5,pending,2025-12-24 23:27:56.611128,0.16049382716049382,0.6230769230769231,13.0,0.0,co_occurrence,PM_START → RF_ADJUST,,,,,
PM_START,TEMP_HIGH,CO_OCCURS,pattern_mining,0.5,pending,2025-12-24 23:27:56.611130,0.16049382716049382,0.6230769230769231,13.0,0.0,co_occurrence,PM_START → TEMP_HIGH,,,,,
PM_START,ETCH_RATE_OOS,CO_OCCURS,pattern_mining,0.5,pending,2025-12-24 23:27:56.611139,0.16049382716049382,0.6639344262295082,13.0,0.0,co_occurrence,PM_START → ETCH_RATE_OOS,,,,,
Temperature,RF_Power,INFLUENCES,transfer_entropy,0.4063923725119409,pending,2025-12-24 23:27:56.572827,,,,,,,0.13727189638483273,0.04215751696848935,23.0,23.0,0.0
